petal_length,petal_width,sepal_length,sepal_width,species
3.3,1,4.9,2.4,versicolor
1.4,0.2,5.5,4.2,setosa
1.5,0.2,5.1,3.4,setosa
4.7,1.6,6.3,3.3,versicolor
1.6,0.2,4.8,3.4,setosa
3.5,1,5,2,versicolor
4.2,1.3,5.6,2.7,versicolor
1.4,0.2,5.1,3.5,setosa
5,2,5.7,2.5,virginica
5.1,1.6,6,2.7,versicolor
1.6,0.2,5.1,3.8,setosa
3.9,1.1,5.6,2.5,versicolor
5.5,1.8,6.4,3.1,virginica
4.6,1.3,6.6,2.9,versicolor
1.7,0.2,5.4,3.4,setosa
1.2,0.2,5.8,4,setosa
5.7,2.5,6.7,3.3,virginica
4.7,1.5,6.7,3.1,versicolor
1.7,0.3,5.7,3.8,setosa
1.3,0.3,4.5,2.3,setosa
5.2,2.3,6.7,3,virginica
5.5,2.1,6.8,3,virginica
4.7,1.4,6.1,2.9,versicolor
5.6,2.1,6.4,2.8,virginica
1.3,0.2,5.5,3.5,setosa
1.5,0.2,5.3,3.7,setosa
4.2,1.2,5.7,3,versicolor
4.4,1.4,6.7,3.1,versicolor
4.5,1.3,5.7,2.8,versicolor
6.3,1.8,7.3,2.9,virginica
4.5,1.5,6.2,2.2,versicolor
4,1.2,5.8,2.6,versicolor
1.9,0.4,5.1,3.8,setosa
5.8,1.6,7.2,3,virginica
5,1.5,6,2.2,virginica
5.6,2.4,6.7,3.1,virginica
4.6,1.5,6.5,2.8,versicolor
